record_id,symbol,event_id,fiscal_period,record_type,status,expected_date,occurred_date,session_timing,source_type,source_url,known_as_of_utc,checked_at_utc,supersedes,notes
A0053,NVDA,NVDA-8K-2020-02-13,,assertion,occurred,,2020-02-13,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000007/,2020-02-13T21:21:20+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0054,NVDA,NVDA-8K-2020-05-21,,assertion,occurred,,2020-05-21,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000063/,2020-05-21T20:22:07+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0055,NVDA,NVDA-8K-2020-08-19,,assertion,occurred,,2020-08-19,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000145/,2020-08-19T20:21:46+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0056,NVDA,NVDA-8K-2020-11-18,,assertion,occurred,,2020-11-18,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000187/,2020-11-18T21:21:51+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0057,NVDA,NVDA-8K-2021-02-24,,assertion,occurred,,2021-02-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000007/,2021-02-24T21:22:27+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0058,NVDA,NVDA-8K-2021-05-26,,assertion,occurred,,2021-05-26,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000063/,2021-05-26T20:20:35+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0059,NVDA,NVDA-8K-2021-08-18,,assertion,occurred,,2021-08-18,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000128/,2021-08-18T20:21:07+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0060,NVDA,NVDA-8K-2021-11-17,,assertion,occurred,,2021-11-17,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000160/,2021-11-17T21:20:59+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0061,NVDA,NVDA-8K-2022-02-16,,assertion,occurred,,2022-02-16,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000008/,2022-02-16T21:21:16+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0062,NVDA,NVDA-8K-2022-05-25,,assertion,occurred,,2022-05-25,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000073/,2022-05-25T20:22:25+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0063,NVDA,NVDA-8K-2022-08-08,,assertion,occurred,,2022-08-08,bmo,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000133/,2022-08-08T13:16:50+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0064,NVDA,NVDA-8K-2022-08-24,,assertion,occurred,,2022-08-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000136/,2022-08-24T20:24:34+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0065,NVDA,NVDA-8K-2022-11-16,,assertion,occurred,,2022-11-16,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000163/,2022-11-16T21:21:18+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0066,NVDA,NVDA-8K-2023-02-22,,assertion,occurred,,2023-02-22,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000014/,2023-02-22T21:52:26+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0067,NVDA,NVDA-8K-2023-05-24,,assertion,occurred,,2023-05-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000087/,2023-05-24T20:22:18+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0068,NVDA,NVDA-8K-2023-08-23,,assertion,occurred,,2023-08-23,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000171/,2023-08-23T20:21:42+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0069,NVDA,NVDA-8K-2023-11-21,,assertion,occurred,,2023-11-21,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000225/,2023-11-21T21:22:00+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0070,NVDA,NVDA-8K-2024-02-21,,assertion,occurred,,2024-02-21,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000028/,2024-02-21T21:22:09+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0071,NVDA,NVDA-8K-2024-05-22,,assertion,occurred,,2024-05-22,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/,2024-05-22T20:21:29+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0072,NVDA,NVDA-8K-2024-08-28,,assertion,occurred,,2024-08-28,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/,2024-08-28T20:21:16+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0073,NVDA,NVDA-8K-2024-11-20,,assertion,occurred,,2024-11-20,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000315/,2024-11-20T21:21:20+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0074,NVDA,NVDA-8K-2025-02-26,,assertion,occurred,,2025-02-26,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/,2025-02-26T21:21:32+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0075,NVDA,NVDA-8K-2025-05-28,,assertion,occurred,,2025-05-28,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000115/,2025-05-28T20:21:30+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0076,NVDA,NVDA-8K-2025-08-27,,assertion,occurred,,2025-08-27,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000207/,2025-08-27T20:22:14+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0077,NVDA,NVDA-8K-2025-11-19,,assertion,occurred,,2025-11-19,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000228/,2025-11-19T21:20:44+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0078,NVDA,NVDA-8K-2026-02-25,,assertion,occurred,,2026-02-25,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000019/,2026-02-25T21:31:25+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0079,NVDA,NVDA-8K-2026-05-20,,assertion,occurred,,2026-05-20,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000051/,2026-05-20T20:21:19+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0080,PLTR,PLTR-8K-2020-11-12,,assertion,occurred,,2020-11-12,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1321655/000119312520291678/,2020-11-12T21:16:00+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
